1494.41	1456.74	1514.11	1475.30	1606.97	1582.79	1799.96	1780.58	1741.99	1679.87	1805.41	1801.02
1519.93	1458.09	1553.27	1491.66	1652.18	1628.98	1804.48	1797.60	1755.88	1729.64	1805.48	1805.42
1503.48	1479.62	1522.36	1483.23	1666.05	1636.97	1805.48	1804.24	1781.68	1762.87	1805.48	1805.48
1518.58	1485.01	1523.29	1485.23	1683.41	1650.44	1805.48	1803.01	1778.14	1761.33	1805.48	1805.48
1514.28	1480.00	1515.17	1477.67	1666.68	1644.87	1805.48	1803.99	1782.32	1760.63	1805.48	1805.48
1500.05	1463.12	1540.29	1468.23	1665.89	1641.55	1805.41	1803.73	1782.36	1755.92	1805.48	1805.48
1478.46	1438.53	1536.41	1493.52	1677.34	1648.41	1805.48	1803.17	1775.48	1761.64	1805.48	1805.47
1426.89	1396.84	1467.24	1393.43	1547.98	1455.19	1709.22	1618.89	1718.91	1652.22	1775.58	1749.78
1505.45	1465.37	1495.71	1458.75	1654.76	1618.96	1805.42	1794.69	1759.71	1743.67	1805.48	1805.43
1513.85	1467.48	1515.30	1478.74	1666.44	1641.75	1805.48	1803.18	1782.99	1761.73	1805.48	1805.48
1502.37	1463.44	1559.13	1490.63	1662.51	1644.78	1805.48	1803.10	1780.23	1760.74	1805.48	1805.48
1539.62	1508.48	1574.50	1521.21	1714.24	1695.53	1805.48	1804.80	1777.93	1763.66	1805.48	1805.47
1592.11	1562.10	1551.64	1511.36	1743.54	1700.10	1805.48	1799.47	1782.22	1758.13	1805.48	1805.40
